Description,CPV
"Turkey, minimally processed with additions",15112120
"Lamb or mutton, minimally processed without additions ",15115000
"Lamb or mutton, minimally processed with additions ",15115000
"Goat, minimally processed without additions ",03322200
"Goat, minimally processed with additions",03322200
"Specialty meat, minimally processed without additions ",15110000
"Specialty meat, minimally processed with additions ",15110000
"Specialty poultry, minimally processed without additions ",15112000
"Specialty poultry, minimally processed with additions ",15112000
"Mixed species meat, minimally processed without additions",15110000
"Mixed species meat, minimally processed with additions",15110000
"Duck, minimally processed with additions ",15112140
"Duck, minimally processed without additions ",15112140
"Horse, minimally processed without additions",15118000
"Horse, minimally processed with additions",15118000
"Rabbit, minimally processed without additions",15119000
"Rabbit, minimally processed with additions",15119000
"Frog, minimally processed without additions",15119400
"Frog, minimally processed with additions",15119400
"Land snail, minimally processed without additions",03142200
"Land snail, minimally processed with additions",03142200
"Snake, minimally processed without additions",15100000
"Snake, minimally processed with additions",15100000
"Turtle, minimally processed without additions",15100000
"Turtle, minimally processed with additions",15100000
"Bison or buffalo, minimally processed without additions",15100000
"Bison or buffalo, minimally processed with additions",15100000
"Llama or alpaca, minimally processed without additions",15100000
"Llama or alpaca, minimally processed with additions",15100000
"Goose, minimally processed without additions",15100000
"Goose, minimally processed with additions",15100000
"Ostrich, minimally processed without additions",15100000
"Ostrich, minimally processed with additions",15100000
"Boar, minimally processed without additions",15100000
"Boar, minimally processed with additions",15100000
"Deer, minimally processed without additions",15100000
"Deer, minimally processed with additions",15100000
"Pheasant, minimally processed without additions",15100000
"Pheasant, minimally processed with additions",15100000
"Quail, minimally processed without additions",15100000
"Quail, minimally processed with additions",15100000
"Beef, processed without additions ",15111100
"Beef, processed with additions ",15111100
"Veal, processed without additions ",15111200
"Veal, processed with additions ",15111200
"Pork, processed without additions ",15113000
"Pork, processed with additions",15113000
"Chicken, processed without additions",15112130
"Chicken, processed with additions",15112130
"Turkey, processed without additions",15112120
"Turkey, processed with additions",15112120
"Lamb or mutton, processed without additions ",15115000
"Lamb or mutton, processed with additions ",15115000
"Goat, processed without additions ",03322200
"Goat, processed with additions ",03322200
"Specialty meat, processed without additions ",15110000
"Specialty meat, processed with additions ",15110000
"Specialty poultry, processed without additions",15112000
"Specialty poultry, processed with additions",15112000
"Mixed species meat, processed without additions",15110000
"Mixed species meat, processed with additions",15110000
"Duck, processed with additions ",15112140
"Duck, processed without additions ",15112140
"Horse, processed without additions",15118000
"Horse, processed with additions",15118000
"Rabbit, processed without additions",15119000
"Rabbit, processed with additions",15119000
"Frog, processed without additions",15119400
"Frog, processed with additions",15119400
"Land snail, processed without additions",03142200
"Land snail, processed with additions",03142200
"Snake, processed without additions",15100000
"Snake, processed with additions",15100000
"Turtle, processed without additions",15100000
"Turtle, processed with additions",15100000
"Bison or buffalo, processed without additions",15100000
"Bison or buffalo, processed with additions",15100000
"Llama or alpaca, processed without additions",15100000
"Llama or alpaca, processed with additions",15100000
"Goose, processed without additions",15100000
"Goose, processed with additions",15100000
"Ostrich, processed without additions",15100000
"Ostrich, processed with additions",15100000
"Boar, processed without additions",15100000
"Boar, processed with additions",15100000
"Deer, processed without additions",15100000
"Deer, processed with additions",15100000
"Pheasant, processed without additions",15100000
"Pheasant, processed with additions",15100000
"Quail, processed without additions",15100000
"Quail, processed with additions",15100000
Frozen fish,15221000
Shelf stable fish,15200000
Fresh fish,15211100
Fresh shellfish,15253000
Frozen shellfish,15221000
Shelf stable shellfish,15253000
Fresh aquatic invertebrates,03312300
Frozen aquatic invertebrates,03312300
Shelf stable aquatic invertebrates,03312300
Fresh aquatic plants,03313000
Frozen aquatic plants,03313000
Shelf stable aquatic plants,03313000
Prepared eggs,03142500
In shell table egg from chickens,03142500
In shell table egg from ducks,03142500
In shell table egg from emus,03142500
In shell table egg from geese,03142500
In shell table egg from guineafowls,03142500
In shell table egg from ostriches,03142500
In shell table egg from quails,03142500
In shell table egg from rheas,03142500
In shell table egg from squabs or pigeons,03142500
In shell table egg from turkeys,03142500
In shell table egg from specialty birds,03142500
In shell nest run egg from chickens,03142500
In shell nest run egg from birds other than chickens,03142500
In shell checked and dirty egg industrial from chickens,03142500
In shell checked and dirty egg industrial from birds other than chickens,03142500
Cooked egg from chickens,03142500
Cooked egg from birds other than chickens,03142500
Egg products and substitutes from chickens,03142500
Decharacterized egg products from chickens,03142500
Egg products and substitutes from birds other than chickens,03142500
Decharacterized egg products from birds other than chickens,03142500
Egg extract from chickens,03142500
Egg extract from birds other than chickens,03142500
Egg imitation,03142500
Fresh milk or butter products,03331000#15530000
Shelf stable milk or butter products,03331000#15530000
Frozen milk and butter products,03331000#15530000
Powdered milk,15511000
Natural cheese,15540000
Processed cheese,15540000
Imitation cheese,15540000
Edible vegetable or plant oils,15411100
Edible vegetable or plant fats,15412200
Edible animal oils,15400000
Edible animal fats,15400000
Natural sugars or sweetening products,15830000
Artificial sweetening agents,15830000
Chocolate or chocolate substitute,15842100
Syrups,15553000
Chocolate or chocolate substitute candy,15842100
Sugar or sugar substitute candy,15830000
Chewing gum,15830000
Fresh herbs,15872300
Spices or extracts,15872200
Cooking or table salt,15872400
Seasoning mix,15800000#15871000
Vinegars,15871000
Cooking wines,15930000
Dipping sauces or condiments or spreads or marinades,15870000#15871200
Cooking sauce,15871200
Salad dressing or dips,15800000
Savory spread or pate,15800000
Pickles,15800000
Relish,15800000
Chutneys,15871279
Baking mixes,15612420
Baking supplies,15612420
Fresh bread,15811000
Frozen bread,15811000
Plain savory biscuits,15820000
Dried breads or bread shells or croutons,15811000
Sweet biscuits or cookies,15821200
Shelf stable bread,15811000
Frozen cookie dough,15800000
Frozen bread dough,15800000
Crackers,15800000
Fresh cakes or pies or pastries,15810000
Frozen cakes or pies or pastries,15810000
Frozen pastry dough,15810000
Frozen savory biscuit dough,15820000
Fresh prepared soups or stews,15891400
Frozen prepared soups or stews,15891400
Shelf stable prepared soups or stews,15891400
Crisps or chips or pretzels or mixes,15311100
Nuts or dried fruits,15332410#15842400
Dried or processed meats,15119000
Popped corn,15331470
Prepared desserts,15833100
Dessert toppings,15833100
Flavored ices or ice cream or ice cream desserts or frozen yogurts,15833100
Edible ice cream cups or cones,15555100
Jams or jellies or fruit preserves,15332200
Nut or mixed spreads,15842400
Honey,15831600
Gelatin or jelly crystals,15800000
Fresh sandwiches or filled rolls,15811510
Frozen sandwiches or filled rolls,15811510
Fresh sandwich fillers,15811510
Frozen sandwich fillers,15811510
Fresh prepared potatoes or rice or pasta or stuffing,15312000#15310000
Frozen prepared potatoes or rice or pasta or stuffing,15311000#15310000
Shelf stable prepared potatoes or rice or pasta or stuffing,15311000#15310000
Fresh combination meals,15894200
Frozen combination meals,15894200
Shelf stable combination meals,15894200
Fresh savory pies or quiches or pasties,15810000
Frozen savory pies or quiches or pasties,15810000
Shelf stable savory pies or quiches or pasties,15810000
Fresh plain pasta or noodles,15850000
Shelf stable plain pasta or noodles,15850000
Infant foods,15884000
Infant beverages,15884000
Instant snack mixes,15884000
Dessert mix,15893200
Gravy mix,15893300
Soup bases,15891400
Batter or breading mixes,15800000
Fresh prepared salads,15800000
Frozen prepared salads,15800000
Shelf stable prepared salads,15800000
Coffee,15861000
Coffee substitutes,15862000
Coffee drinks,15861000
Instant coffee,15861000
Leaf tea,15863000
Instant tea,15863000
Tea drinks,15863000
Tea bags,15864100
Non dairy creamers,15510000
Beer,15961000
Cider or perry,15941000
Wine,15930000
Fortified wine,15930000
Sparkling wine,15931100
Spirits or liquors,15911100
Alcohol cocktails or drink mixes,15910000
Water,15981200
Ice,15981300
Frozen juices,15320000
Shelf stable juice,15320000
Fresh juice,15320000
Soft drinks,15982000
Chocolate or malt or other hot beverages,15842200
Alcohol free cocktails or drink mixes,15910000
Sport or energy drink,15900000
Spring or mineral water,15981000
Powdered drink mix,15900000
Clementine juice,15320000
Kumquat juice,15320000
Lemon juice,15320000
Key lime juice,15320000
Lime juice,15320000
Mandarin juice,15320000
Minneola tangelo juice,15320000
Orange juice,15320000
Pummelo juice,15320000
Satsuma juice,15320000
Tangelo juice,15320000
Tangerine juice,15320000
Temple juice,15320000
Ugli juice,15320000
Clementine concentrate,15320000
Kumquat concentrate,15320000
Lemon concentrate,15320000
Lime concentrate,15320000
Mandarin concentrate,15320000
Minneola concentrate,15320000
Orange concentrate,15320000
Pummelo concentrate,15320000
Satsuma concentrate,15320000
Tangelo concentrate,15320000
Tangerine concentrate,15320000
Temple concentrate,15320000
Ugli concentrate,15320000
Blackberry concentrate,15320000
Blueberry concentrate,15320000
Cranberry concentrate,15320000
Grape concentrate,15320000
Raspberry concentrate,15320000
Strawberry concentrate,15320000
Boysenberry juice,15320000
Blackcurrant juice,15320000
Blackberry juice,15320000
Blueberry juice,15320000
Raspberry juice,15320000
Strawberry juice,15320000
Grape juice,15320000
Apple juice,15320000
Pear juice,15320000
Apricot juice,15320000
Cherry juice,15320000
Nectarine juice,15320000
Peach juice,15320000
Plum juice,15320000
Prune juice,15320000
Cream of coconut concentrate,15320000
Kiwi fruit concentrate,15320000
Mango concentrate,15320000
Passion fruit concentrate,15320000
Pineapple concentrate,15320000
Star fruit concentrate,15320000
Cantaloupe concentrate,15320000
Honeydew melon concentrate,15320000
Watermelon concentrate,15320000
Cigarettes or cigars,15991300
Pipe tobacco or leaf tobacco,15999200
Chewing tobacco,15999200
Herbal cigarettes,15991300
Snuff,15990000
Cigarette papers or filters,15994100
Cigarette lighters or flints,39225100
Smoking pipes,15991100
Tobacco pipe cleaners,15991000
Smoking sets,15990000
Cigarette lighter housings,39225100
